Date,Book_0,Book_1,Book_2,Book_3,Book_4,Book_5,Book_6,Book_7,Book_8,Book_9
2010-01-04,,,,,,,,,,
2010-01-05,,0.0,,0.0,0.0,,,0.0,0.0,0.0
2010-01-06,,0.0,,0.0,0.0,,,0.0,0.0,0.0
2010-01-07,,0.0,,0.0,0.0,,,0.0,0.0,0.0
2010-01-08,,0.0,,0.0,0.0,,,0.0,0.0,0.0
2010-01-11,,-0.002657799570871422,,-0.0027440925130921556,0.0,,,0.0,9.801605403708669e-05,0.0
2010-01-12,,-0.003485453614328523,,0.0085587727767229,0.0,,,0.0,0.006962343231906222,-0.006255827307036855
2010-01-13,,0.0031677167528244934,,0.005812951564388269,-0.006730121584275439,,,0.0,0.007670493329193086,0.0029126305372543715
2010-01-14,,0.0,,0.007000738696473219,-0.00029633516226227713,,,0.0,-0.0014114415522218213,0.0018424530958909915
2010-01-15,,0.0,,-0.0030935792172457344,0.0,,,0.0,0.0036949939881906362,0.0064504572148667795
2010-01-19,,0.0,0.02026210108900517,0.0019025332306939664,0.005102082510563599,,,0.0,0.011427671266192286,-0.00488137183758324
2010-01-20,,0.0033049732006074244,-0.000199382539545212,-0.006752679169824027,0.0,,,0.0,0.013869263158813195,0.010103833996996004
2010-01-21,,0.004117599883657183,-0.021940975733698426,-0.0030521582231458253,0.007168260887695621,,,0.0,-0.01202085114789816,0.009872810673770216
2010-01-22,,0.0005322172262017652,0.00601738973047113,0.0011573432273367008,0.0,,,0.0,-0.014325155632886156,0.011561680567318358
2010-01-25,,-0.0008264711427368811,0.0003530714123534118,0.003043710270386487,0.0,,,0.0,0.0025505371109330265,-0.005870109783884618
2010-01-26,,-0.00010632436488076737,-0.0022468128208836813,0.0,-0.0023310768732903164,,,0.0,-0.004711928010587274,0.004316588778635438
2010-01-27,,0.0013680056349623898,-0.005979684615780838,0.0,0.0,,,0.0,0.003335838758943899,0.007406590171645256
2010-01-28,,0.00013408811182943507,0.007228338502804836,0.0,-0.002157241416679334,,,0.0,-0.006415486771792556,0.00041882272001048104
2010-01-29,,0.0013953103361249916,0.003679548622983142,0.0,-0.0014114190828969086,,,0.0,-0.007851448026824715,0.00697201054498437
2010-02-01,,-0.006444478806824083,-0.0001517657325140013,0.006051654311822012,0.0,,,0.0,0.009178848759431268,-0.018180910688119372
2010-02-02,,0.0008998601641456994,0.004705066078639218,0.0007130979420451045,0.006854411199623378,,,0.0,0.0031921060467149376,-0.009682966592411043
2010-02-03,-0.00025765867998372993,-0.000492532204707713,-0.0014988195225000833,0.0,0.0,0.004508968208760344,,0.0,0.0015769816951207382,0.00035527948155622546
2010-02-04,0.029901011505446884,0.0,-0.005819520248273337,0.012662114871942975,0.009261316390899887,0.04119959046687954,,0.0,0.01883834526594492,-0.005459649443238845
2010-02-05,-0.005256817832664296,-0.0007425446738428265,-0.003439100621587762,-0.0008714166369321319,-0.0045971907322394645,0.014636328448402458,,-0.0015019479521897988,0.0013759085919048508,0.007926391016621268
