Date,equity
2010-01-04,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-11,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-19,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-25,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-02-01,1.0
2010-02-02,1.0024824320743417
2010-02-03,1.0023150018230456
2010-02-04,1.0370239947915854
2010-02-05,1.0324947981849182
2010-02-08,1.0342068433584544
2010-02-09,1.0290831762238022
2010-02-10,1.0260813937183968
2010-02-11,1.0130499087915228
2010-02-12,1.0157975280852398
2010-02-16,1.010342652981561
2010-02-17,1.0035458078683086
2010-02-18,0.9987501752709432
2010-02-19,1.0002773022794604
2010-02-22,0.9991459778878206
2010-02-23,0.9958861788991278
2010-02-24,0.9954329304220447
2010-02-25,0.9897019144135759
2010-02-26,0.9866452139317073
2010-03-01,0.9912424062608997
2010-03-02,0.9935306885085191
2010-03-03,0.9957888247263333
2010-03-04,0.9944083522371282
2010-03-05,1.0070690217499951
2010-03-08,1.0060766266346821
2010-03-09,1.0076143095438768
2010-03-10,1.0121308248180092
2010-03-11,1.0167236216459357
2010-03-12,1.0156014740046508
2010-03-15,1.0144920221723561
2010-03-16,1.0176678941600312
2010-03-17,1.0153583441997476
2010-03-18,1.0163658697654165
2010-03-19,1.0184304273107838
2010-03-22,1.0176809815720043
2010-03-23,1.0194814597878483
2010-03-24,1.0211515919943361
2010-03-25,1.0171457256450793
2010-03-26,1.0170005731221063
2010-03-29,1.0138809422405524
2010-03-30,1.0143291381955022
2010-03-31,1.0135864600337785
2010-04-01,1.0112150968409965
2010-04-05,1.0133119955411802
2010-04-06,1.0141781403902084
2010-04-07,1.0189002468386754
2010-04-08,1.01954713145519
2010-04-09,1.0201739428990377
2010-04-12,1.0179706243283382
2010-04-13,1.0150578149327207
2010-04-14,1.0217222021733956
2010-04-15,1.023247309437441
2010-04-16,1.0119285865119902
2010-04-19,1.0136309009942404
2010-04-20,1.012177856706687
2010-04-21,1.0058705283335754
2010-04-22,1.007253215252813
2010-04-23,1.0078869494454372
2010-04-26,1.0065713926063193
2010-04-27,1.0030487165759148
2010-04-28,1.0052025619128444
2010-04-29,1.0043903877383318
2010-04-30,1.00054586724915
2010-05-03,1.0023850861944674
2010-05-04,0.9885861462805375
2010-05-05,0.9902097169154088
2010-05-06,0.9860870159381501
2010-05-07,0.9882864301154822
2010-05-10,1.0017850138926028
2010-05-11,1.0036500500007806
2010-05-12,1.0020143931342052
2010-05-13,1.0065929389512367
2010-05-14,1.0167532935142547
2010-05-17,1.0208200820040523
2010-05-18,1.012462610741019
2010-05-19,1.0105266809046627
2010-05-20,1.0061320493819348
2010-05-21,1.0037994653311177
2010-05-24,1.0025315502007517
2010-05-25,1.0017508067901748
2010-05-26,1.0025137730477016
2010-05-27,1.0048986640727202
2010-05-28,1.0079813081748137
2010-06-01,1.0114634105877214
2010-06-02,1.0087285662094072
2010-06-03,1.004132078033213
2010-06-04,1.031037641925025
2010-06-07,1.0306987262219593
2010-06-08,1.0310985007224622
2010-06-09,1.0331183689341559
2010-06-10,1.0404774739276814
2010-06-11,1.0502115661007996
2010-06-14,1.0502967304659716
2010-06-15,1.0438443685905854
2010-06-16,1.0472284665887976
2010-06-17,1.0503279927641513
2010-06-18,1.0530061788133989
2010-06-21,1.048429820517083
2010-06-22,1.0421745238506113
2010-06-23,1.040711292901143
2010-06-24,1.0346133249603822
2010-06-25,1.038180391252055
2010-06-28,1.0354639328585507
2010-06-29,1.0307275942662708
2010-06-30,1.0309356100496994
2010-07-01,1.0300920332701575
2010-07-02,1.0299645601508378
2010-07-06,1.0267107340367791
2010-07-07,1.0269540977938214
2010-07-08,1.0272076929074925
2010-07-09,1.0295017964823652
2010-07-12,1.0268298304825525
2010-07-13,1.0264607497896348
2010-07-14,1.0330722540807256
2010-07-15,1.0335236502951552
2010-07-16,1.0356518311183809
2010-07-19,1.0368139728557608
2010-07-20,1.037438669094849
2010-07-21,1.0314248742901229
2010-07-22,1.0386545461516192
2010-07-23,1.041848446212685
2010-07-26,1.0385212198595104
2010-07-27,1.0339056275180436
2010-07-28,1.0369971538542995
2010-07-29,1.038931146239249
2010-07-30,1.0452331380269329
2010-08-02,1.0418535561430489
2010-08-03,1.0448361249282447
2010-08-04,1.0454721767894342
2010-08-05,1.0482211150967953
2010-08-06,1.0489300854911439
2010-08-09,1.0493671829578348
2010-08-10,1.0492662401670596
2010-08-11,1.04813816271851
2010-08-12,1.0501207653941576
2010-08-13,1.0480370834579582
2010-08-16,1.04805811312663
2010-08-17,1.0530328564145044
2010-08-18,1.0543261142917844
2010-08-19,1.0490125193351827
2010-08-20,1.0486561076334309
2010-08-23,1.0475134525198753
2010-08-24,1.0502214309867308
2010-08-25,1.050348430247311
2010-08-26,1.0488602740074897
2010-08-27,1.0535032518848328
2010-08-30,1.060279824760023
2010-08-31,1.0603394842886151
2010-09-01,1.0590373919848497
2010-09-02,1.0501591401160137
2010-09-03,1.0377340476827595
2010-09-07,1.0561896058700695
2010-09-08,1.0520421341382262
2010-09-09,1.0359414279167263
2010-09-10,1.0328310901639148
2010-09-13,1.034552321825343
2010-09-14,1.043819214806936
2010-09-15,1.0403493765797516
2010-09-16,1.039197567029098
2010-09-17,1.0417928250753736
2010-09-20,1.0402183725579344
2010-09-21,1.045428244824546
2010-09-22,1.0479275871132767
2010-09-23,1.0516360585449422
2010-09-24,1.051552672498997
2010-09-27,1.053049812450724
2010-09-28,1.0519381108263142
2010-09-29,1.053843830682404
2010-09-30,1.0549330492531608
2010-10-01,1.056393370247824
2010-10-04,1.0565141315686497
2010-10-05,1.0561014618146576
2010-10-06,1.0583685035098964
2010-10-07,1.0560980775116693
2010-10-08,1.0561233487692716
2010-10-11,1.0561534175209863
2010-10-12,1.053689159907301
2010-10-13,1.054625763400421
2010-10-14,1.0404330289039174
2010-10-15,1.0312922056184033
2010-10-18,1.0330383299352266
2010-10-19,1.0338407731970036
2010-10-20,1.0304919573630023
2010-10-21,1.0281910961087206
2010-10-22,1.0317004164467996
2010-10-25,1.0339519800181423
2010-10-26,1.0344927834490276
2010-10-27,1.033253508471837
2010-10-28,1.0374797491436398
2010-10-29,1.0413443579711787
2010-11-01,1.0407665496554916
2010-11-02,1.0403702488770945
2010-11-03,1.0431661646942518
2010-11-04,1.0593224682368132
2010-11-05,1.0558773057477229
2010-11-08,1.061852099665648
2010-11-09,1.0549949776541006
2010-11-10,1.0569278365966528
2010-11-11,1.0573889430421817
2010-11-12,1.0493796093747978
2010-11-15,1.0465480900235717
2010-11-16,1.0536446093691105
2010-11-17,1.0536137717511718
