Date,portfolio
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,0.0024824320743417373
2010-02-03,-0.0001670156462988943
2010-02-04,0.034628827170510225
2010-02-05,-0.0043674945125809815
2010-02-08,0.0016581634857104595
2010-02-09,-0.004954199604804111
2010-02-10,-0.0029169483815879266
2010-02-11,-0.012700244840859567
2010-02-12,0.002712225004782565
2010-02-16,-0.005370041718807162
2010-02-17,-0.006727267321828465
2010-02-18,-0.004778688286837704
2010-02-19,0.0015290380380687575
2010-02-22,-0.0011310107597781133
2010-02-23,-0.00326258530868928
2010-02-24,-0.00045512076247916747
2010-02-25,-0.005757310044021718
2010-02-26,-0.003088506182874009
2010-03-01,0.004659417857887083
2010-03-02,0.0023084991452808246
2010-03-03,0.0022728399272739573
2010-03-04,-0.0013863104856438576
2010-03-05,0.012731861598290093
2010-03-08,-0.0009854290956030768
2010-03-09,0.001528395420871687
2010-03-10,0.004482385007192909
2010-03-11,0.004537750175479809
2010-03-12,-0.0011036899481769887
2010-03-15,-0.001092408647183166
2010-03-16,0.003130504644950011
2010-03-17,-0.0022694534961132194
2010-03-18,0.000992285700338557
2010-03-19,0.00203131333585981
2010-03-22,-0.0007358830988177013
2010-03-23,0.0017691970749644358
2010-03-24,0.0016382173412307854
2010-03-25,-0.00392289096022776
2010-03-26,-0.00014270572968377198
2010-03-29,-0.003067481930690632
2010-03-30,0.00044205974910573617
2010-03-31,-0.000732186559330057
2010-04-01,-0.00233957662842388
2010-04-05,0.00207364259763744
2010-04-06,0.0008547662051167351
2010-04-07,0.004656091726301966
2010-04-08,0.0006348851308278455
2010-04-09,0.0006147939850050067
2010-04-12,-0.002159747939099766
2010-04-13,-0.002861388458571121
2010-04-14,0.006565524783548141
2010-04-15,0.0014926829042193038
2010-04-16,-0.011061571157879356
2010-04-19,0.0016822476456740646
2010-04-20,-0.0014335043319298987
2010-04-21,-0.006231442756151435
2010-04-22,0.0013746171900754591
2010-04-23,0.0006291706822352445
2010-04-26,-0.0013052623013343086
2010-04-27,-0.003499678270493384
2010-04-28,0.002147298831388779
2010-04-29,-0.0008079706571449718
2010-04-30,-0.003827715334710405
2010-05-03,0.0018382155236660964
2010-05-04,-0.013766106563214413
2010-05-05,0.0016423157870255605
2010-05-06,-0.004163462453288454
2010-05-07,0.00223044634173542
2010-05-10,0.013658574443386074
2010-05-11,0.00186171292474315
2010-05-12,-0.0016297083496127805
2010-05-13,0.004569341367153788
2010-05-14,0.010093806711582994
2010-05-17,0.003999779017918368
2010-05-18,-0.008187016899810568
2010-05-19,-0.0019121000773938861
2010-05-20,-0.004348852539740728
2010-05-21,-0.0023183677055610367
2010-05-24,-0.0012631159650475972
2010-05-25,-0.0007787719103908501
2010-05-26,0.00076163278567412
2010-05-27,0.0023789109827075314
2010-05-28,0.0030676168775066815
2010-06-01,0.003454530738484589
2010-06-02,-0.002703849046526645
2010-06-03,-0.004556714591187695
2010-06-04,0.026794845499320763
2010-06-07,-0.0003287132198518494
2010-06-08,0.00038786746343257825
2010-06-09,0.0019589478699447802
2010-06-10,0.00712319634885391
2010-06-11,0.009355408855102984
2010-06-14,8.109257974376196e-05
2010-06-15,-0.006143370428777457
2010-06-16,0.003241956464048004
2010-06-17,0.0029597420947215353
2010-06-18,0.00254985687108983
2010-06-21,-0.004345993773249212
2010-06-22,-0.005966347526615279
2010-06-23,-0.0014040171928802819
2010-06-24,-0.0058594232448095415
2010-06-25,0.0034477289298486596
2010-06-28,-0.0026165572152911936
2010-06-29,-0.00457412222867541
2010-06-30,0.00020181450907646181
2010-07-01,-0.0008182633050197853
2010-07-02,-0.0001237492526904964
2010-07-06,-0.0031591631789564924
2010-07-07,0.00023703244640836533
2010-07-08,0.0002469390932038296
2010-07-09,0.0022333395580197537
2010-07-12,-0.002595397122124838
2010-07-13,-0.000359437057593488
2010-07-14,0.0064410687816810405
2010-07-15,0.00043694544369625633
2010-07-16,0.0020591505793001626
2010-07-19,0.001122135550250359
2010-07-20,0.0006025152587087595
2010-07-21,-0.005796771398518367
2010-07-22,0.007009402276120457
2010-07-23,0.0030750359423154607
2010-07-26,-0.0031935799926269878
2010-07-27,-0.004444389053592141
2010-07-28,0.0029901436397800274
2010-07-29,0.0018649929537042336
2010-07-30,0.006065841620492358
2010-08-02,-0.0032333282986642077
2010-08-03,0.002862752416220013
2010-08-04,0.0006087575324149223
2010-08-05,0.002629374906755303
2010-08-06,0.000676355765150875
2010-08-09,0.0004167079128884204
2010-08-10,-9.619396567243154e-05
2010-08-11,-0.00107511078253122
2010-08-12,0.0018915470747725292
2010-08-13,-0.0019842307712268177
2010-08-16,2.0065767713473568e-05
2010-08-17,0.004746629242755887
2010-08-18,0.0012281268047830544
2010-08-19,-0.00503980209213624
2010-08-20,-0.0003397592451782917
2010-08-23,-0.0010896375897093032
2010-08-24,0.002585149107480486
2010-08-25,0.00012092617502648792
2010-08-26,-0.0014168215012906027
2010-08-27,0.004426688656634157
2010-08-30,0.006432417615290784
2010-08-31,5.62677202744533e-05
2010-09-01,-0.0012279956778550644
2010-09-02,-0.008383322379388556
2010-09-03,-0.011831628139599563
2010-09-07,0.017784477852028673
2010-09-08,-0.003926824983689001
2010-09-09,-0.015304240865494045
2010-09-10,-0.0030024262656107347
2010-09-13,0.0016665180568441445
2010-09-14,0.008957394213994656
2010-09-15,-0.003324175468283927
2010-09-16,-0.0011071372527180913
2010-09-17,0.0024973673232270796
2010-09-20,-0.0015112913811105165
2010-09-21,0.00500844092361161
2010-09-22,0.0023907353767259674
2010-09-23,0.003538862300477482
2010-09-24,-7.929173335930934e-05
2010-09-27,0.001423742234584306
2010-09-28,-0.0010556970916906852
2010-09-29,0.0018116273538116043
2010-09-30,0.0010335673456013169
2010-10-01,0.0013842783631597736
2010-10-04,0.00011431472804233046
2010-10-05,-0.00039059558378017544
2010-10-06,0.002146613537816246
2010-10-07,-0.0021452131187745154
2010-10-08,2.3928892723427996e-05
2010-10-11,2.847087108694352e-05
2010-10-12,-0.0023332383087577677
2010-10-13,0.0008888802587685585
2010-10-14,-0.013457602676746706
2010-10-15,-0.008785595066261725
2010-10-18,0.001693142164083597
2010-10-19,0.0007767797559140968
2010-10-20,-0.0032391988406934654
2010-10-21,-0.002232779438831799
2010-10-22,0.0034131012720885427
2010-10-25,0.0021823811791190613
2010-10-26,0.0005230450169222877
2010-10-27,-0.0011979542023083437
2010-10-28,0.004090226296984241
2010-10-29,0.0037249968789548477
2010-11-01,-0.0005548676681869714
2010-11-02,-0.00038077778203791663
