feature,importance
QQQ_Alpha_2,0.6037964026623304
DBC_Alpha_15,0.5710650038131604
DBC_Alpha_16,0.5134689807775594
USO_Alpha_15,0.5098438339200467
GLD_Alpha_4,0.5091012174804487
DBC_Alpha_17,0.4979338676503172
DBC_Alpha_13,0.49512215025263223
USO_Alpha_17,0.4889636571181698
DBC_Alpha_14,0.4792914913937326
QQQ_Alpha_5,0.4729434576417106
USO_Alpha_16,0.4719879094387752
SPY_Alpha_6,0.4413577474329526
EEM_Alpha_7,0.43466247881692566
QQQ_Alpha_4,0.4337066914686993
GLD_Alpha_3,0.4330481875243748
TLT_Alpha_7,0.4233833646010934
TLT_Alpha_4,0.4216605738851292
GLD_Alpha_15,0.4023404181613513
GLD_Alpha_16,0.4017474524991703
DBC_Alpha_1,0.3984604501099918
USO_Alpha_12,0.3939982067320755
USO_Alpha_14,0.3937801700433696
TLT_Alpha_6,0.39276495681969786
GLD_Alpha_5,0.3875879626629303
IWM_Alpha_7,0.3818481639202882
TLT_Alpha_8,0.364751249882065
USO_Alpha_2,0.36144328997640357
SPY_Alpha_2,0.3526002661400981
SPY_Alpha_4,0.34812216684464
QQQ_Alpha_6,0.3395630953597402
GLD_Alpha_14,0.33943105145252667
DBC_Alpha_12,0.338504749509864
VNQ_Alpha_10,0.3379244357699711
VNQ_Alpha_9,0.33347994098442135
TLT_Alpha_3,0.32999168399231593
QQQ_Alpha_7,0.3273694510576908
VNQ_Alpha_11,0.32330597853193294
GLD_Alpha_17,0.31852691273712547
USO_Alpha_13,0.3117816246967934
TLT_Alpha_2,0.3094481083510445
EEM_Alpha_8,0.3045167648091962
SPY_Alpha_3,0.2984218186093106
GLD_Alpha_13,0.29271864155978533
DBC_Alpha_4,0.2891462135337361
EEM_Alpha_6,0.2889738379844402
EEM_Alpha_9,0.2866162237289108
SPY_Alpha_5,0.2816508654642875
DBC_Alpha_3,0.2805780447062628
EFA_Alpha_9,0.27507042090797085
TLT_Alpha_9,0.27061215012718665
TLT_Alpha_11,0.2654985757563215
EFA_Alpha_6,0.2585702031530571
QQQ_Alpha_3,0.2580433797833474
DBC_Alpha_5,0.253346080911826
GLD_Alpha_0,0.25263268726819604
USO_Alpha_5,0.25016634173873015
IWM_Alpha_8,0.23794432113984812
TLT_Alpha_17,0.2378109742991517
QQQ_Alpha_17,0.2361243608092118
IWM_Alpha_6,0.23392071735624032
SPY_Alpha_1,0.229141568309126
IWM_Alpha_16,0.22645628019862543
IWM_Alpha_15,0.2123358527999993
GLD_Alpha_12,0.2044417833116402
IWM_Alpha_9,0.20394646989730267
GLD_Alpha_8,0.20101800278952126
TLT_Alpha_5,0.20055032636734
VNQ_Alpha_12,0.19937559254798756
GLD_Alpha_1,0.19662132469816335
DBC_Alpha_2,0.19448838086905745
VNQ_Alpha_13,0.19357180526951462
VNQ_Alpha_7,0.19085287925467972
DBC_Alpha_0,0.18170696978104978
SPY_Alpha_16,0.16914403215078744
